# OCV=3.812V -> SoC0_OCV=0.617
t_s,Vbus_V,Vshunt_mV,I_mA,P_mW,Vmeas_V,Vbat_V,T_C,SoC,SOC0_OCV,Ah_acc,SoC_max,Vcell_max_V,MAX_ok
0.000,3.6560,35.990,359.700,1318.000,1.9064,3.8128,22.50,0.61725,0.61725,0.000000,0.601094,3.8663,1
0.537,3.6560,35.990,359.900,1318.000,1.9056,3.8113,22.50,0.61723,0.61725,0.000054,0.601094,3.8675,1
1.073,3.6520,35.970,360.000,1314.000,1.9060,3.8120,22.50,0.61721,0.61725,0.000107,0.601094,3.8650,1
1.610,3.6560,35.980,360.000,1318.000,1.9053,3.8105,22.50,0.61719,0.61725,0.000161,0.601094,3.8663,1
2.146,3.6600,35.970,360.000,1318.000,1.9049,3.8098,22.56,0.61717,0.61725,0.000215,0.601094,3.8663,1
2.683,3.6520,35.990,359.900,1318.000,1.9050,3.8100,22.56,0.61715,0.61725,0.000268,0.601094,3.8663,1
3.220,3.6560,35.980,359.900,1318.000,1.9054,3.8108,22.50,0.61713,0.61725,0.000322,0.601094,3.8663,1
3.756,3.6560,35.980,359.700,1318.000,1.9048,3.8095,22.50,0.61711,0.61725,0.000376,0.601094,3.8663,1
4.293,3.6560,35.980,359.800,1318.000,1.9061,3.8123,22.56,0.61709,0.61725,0.000429,0.601094,3.8675,1
4.829,3.6600,35.960,359.800,1318.000,1.9039,3.8078,22.56,0.61706,0.61725,0.000483,0.601094,3.8663,1
5.366,3.6560,35.990,359.700,1318.000,1.9059,3.8118,22.56,0.61704,0.61725,0.000536,0.601094,3.8650,1
5.902,3.6560,35.970,360.000,1318.000,1.9058,3.8115,22.56,0.61702,0.61725,0.000590,0.601094,3.8663,1
6.439,3.6600,35.970,359.800,1318.000,1.9055,3.8110,22.50,0.61700,0.61725,0.000644,0.601094,3.8675,1
6.975,3.6560,35.980,359.700,1314.000,1.9056,3.8113,22.56,0.61698,0.61725,0.000697,0.601094,3.8675,1
7.512,3.6560,35.990,359.900,1318.000,1.9045,3.8090,22.50,0.61696,0.61725,0.000751,0.601094,3.8663,1
8.048,3.6560,35.950,359.700,1314.000,1.9045,3.8090,22.50,0.61694,0.61725,0.000804,0.601094,3.8675,1
8.585,3.6560,35.970,359.900,1318.000,1.9045,3.8090,22.50,0.61692,0.61725,0.000858,0.601094,3.8663,1
9.122,3.6560,35.960,359.500,1318.000,1.9053,3.8105,22.56,0.61690,0.61725,0.000912,0.601094,3.8637,1
9.658,3.6480,35.910,359.100,1310.000,1.8995,3.7990,22.56,0.61688,0.61725,0.000965,0.601094,3.8475,1
10.195,3.6360,35.820,358.100,1304.000,1.8960,3.7920,22.56,0.61686,0.61725,0.001019,0.601094,3.8500,1
10.731,3.6440,35.820,358.100,1304.000,1.8978,3.7955,22.56,0.61684,0.61725,0.001072,0.601094,3.8500,1
11.268,3.6440,35.840,358.400,1308.000,1.8981,3.7963,22.56,0.61682,0.61725,0.001125,0.601094,3.8500,1
11.804,3.6440,35.850,358.100,1304.000,1.8969,3.7938,22.56,0.61680,0.61725,0.001179,0.601094,3.8512,1
12.341,3.6440,35.880,358.500,1308.000,1.8971,3.7943,22.56,0.61678,0.61725,0.001232,0.601094,3.8512,1
12.878,3.6440,35.830,358.300,1308.000,1.8973,3.7945,22.56,0.61676,0.61725,0.001286,0.601094,3.8512,1
