# OCV=3.762V -> SoC0_OCV=0.596
t_s,Vbus_V,Vshunt_mV,I_mA,P_mW,Vmeas_V,Vbat_V,T_C,I_model_A,I_cc_A,dV_dt,dI_dt,SoC_fw,SOC0_OCV,Ah_acc,SoC_ml,SoC_max,Vcell_max_V,MAX_ok
0.010,0.0120,-0.020,0.100,0.000,1.8781,3.7563,27.75,0.000100,0.000100,nan,nan,0.59571,0.59571,0.000000,0.355633,0.325508,3.7725,1
0.548,0.0120,-0.020,-0.100,0.000,1.8778,3.7555,27.75,-0.000100,-0.000100,-0.001394,-0.000372,0.59571,0.59571,-0.000000,0.478357,0.325508,3.7738,1
1.085,0.0160,-0.020,0.100,0.000,1.8786,3.7573,27.81,0.000100,0.000100,0.003259,0.000372,0.59571,0.59571,0.000000,0.478357,0.325508,3.7738,1
1.623,0.0160,-0.030,-0.200,0.000,1.8813,3.7625,27.87,-0.000200,-0.000200,0.009759,-0.000558,0.59571,0.59571,-0.000000,0.478357,0.325508,3.7738,1
2.160,0.0160,-0.060,-0.400,0.000,1.8834,3.7668,27.87,-0.000400,-0.000400,0.007914,-0.000372,0.59571,0.59571,-0.000000,0.478357,0.325508,3.7738,1
2.698,0.0160,-0.040,-0.300,0.000,1.8830,3.7660,27.87,-0.000300,-0.000300,-0.001394,0.000186,0.59571,0.59571,-0.000000,0.478357,0.325508,3.7738,1
3.236,0.0160,-0.010,-0.300,0.000,1.8819,3.7638,27.87,-0.000300,-0.000300,-0.004183,0.000000,0.59571,0.59571,-0.000000,0.478357,0.325508,3.7738,1
3.773,0.0160,-0.020,-0.400,0.000,1.8795,3.7590,27.81,-0.000400,-0.000400,-0.008845,-0.000186,0.59571,0.59571,-0.000000,0.478357,0.325508,3.7738,1
4.311,0.0120,-0.020,-0.100,0.000,1.8788,3.7575,27.81,-0.000100,-0.000100,-0.002788,0.000558,0.59571,0.59571,-0.000000,0.478357,0.325508,3.7738,1
4.849,0.0160,-0.040,0.000,0.000,1.8784,3.7568,27.87,0.000000,0.000000,-0.001394,0.000186,0.59571,0.59571,-0.000000,0.478357,0.325508,3.7725,1
5.386,0.0160,-0.030,-0.200,0.000,1.8775,3.7550,27.81,-0.000200,-0.000200,-0.003259,-0.000372,0.59571,0.59571,-0.000000,0.478357,0.325508,3.7738,1
